MONTH,JUMLAH
1-01,0.298632206
1-02,0
1-03,0.283183604
1-04,0.193658377
1-05,0.213879064
1-06,0.154677218
1-07,0.505277114
1-08,0.322539062
1-09,0.108154864
1-10,0.249838308
1-11,0.069880921
1-12,0.571342095
2-01,0.045258316
2-02,0.268477108
2-03,0.03407792
2-04,0.315443267
2-05,0.151802925
2-06,0.261603155
2-07,0.674523703
2-08,0.067056628
2-09,0.09885182
2-10,0.146434336
2-11,0.24096414
2-12,0.754223333
3-01,0.047509215
3-02,0.161827578
3-03,0.198705441
3-04,0.135932236
3-05,0.119707671
3-06,0.370902707
3-07,0.539132158
3-08,0.124017839
3-09,0.229599819
3-10,0.156508037
3-11,0.229032713
3-12,0.75824598
4-01,0.077193342
4-02,0.190708688
4-03,0.161083906
4-04,0.143883207
4-05,0.210348385
4-06,0.861608773
4-07,0.369853193
4-08,0.131775975
4-09,0.106494372
4-10,0.868445803
4-11,0.119783692
4-12,1
5-01,0.157319725
5-02,0.15014295
5-03,0.051090064
5-04,0.356293847
5-05,0.170645982
5-06,0.790796585
5-07,0.102401987
5-08,0.069863115
5-09,0.076480976
5-10,0.144316933
5-11,0.127666778
5-12,0.814009657
